isolate,species_final,st,species_st,species_clean,year,acc_coll_date,assembly,period,rep_type_clean,mobtyper_cluster,fusion_status,total_species_st,species_st_clean,plasmid,flanker_window_cluster,flanker_window,flanker_cluster
CPO104,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,25/8/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO397,500_0,500,0
CPO104,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,25/8/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO397,5000_1,5000,1
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,0_0,0,0
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,1000_0,1000,0
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,1500_1,1500,1
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,2000_1,2000,1
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,2500_1,2500,1
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,3000_1,3000,1
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,3500_0,3500,0
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,4000_2,4000,2
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,4500_4,4500,4
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,500_0,500,0
CPO105,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,24/9/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO185,5000_3,5000,3
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,0_0,0,0
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,1000_0,1000,0
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,1500_1,1500,1
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,2000_1,2000,1
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,2500_1,2500,1
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,3000_1,3000,1
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,3500_0,3500,0
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,4000_5,4000,5
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,4500_2,4500,2
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,500_0,500,0
CPO106,Klebsiella pneumoniae,435,Klebsiella pneumoniae 435,Klebsiella pneumoniae complex,2008,12/10/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO183,5000_0,5000,0
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,0_0,0,0
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,1000_0,1000,0
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,1500_1,1500,1
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,2000_1,2000,1
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,2500_1,2500,1
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,3000_1,3000,1
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,3500_0,3500,0
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,4000_1,4000,1
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,4500_5,4500,5
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,500_0,500,0
CPO107,Serratia marcescens,1,Serratia marcescens 1,Serratia marcescens,2008,2/12/2008,hybrid,2002-2010,IncC (AA860 AJ266),AA860_AJ266,non_fusion,47,Serratia marcescens 1,IncAC_CPO183,5000_1,5000,1
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,0_0,0,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,1000_0,1000,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,1500_0,1500,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,2000_0,2000,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,2500_0,2500,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,3000_0,3000,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,3500_4,3500,4
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,4000_13,4000,13
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,4500_21,4500,21
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,500_0,500,0
CPO109,Klebsiella pneumoniae,20,Klebsiella pneumoniae 20,Klebsiella pneumoniae complex,2008,19/12/2008,hybrid,2002-2010,Chromosome,AA739_AJ058,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncAC_CPO132,5000_10,5000,10
CPO111,Pseudomonas aeruginosa,111,Pseudomonas aeruginosa 111,Pseudomonas aeruginosa,2009,7/6/2009,hybrid,2002-2010,Pseudomonas,AC082_AL120,fragment,35,Pseudomonas aeruginosa 111,IncFIB_CPO009,NA,NA,NA
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,0_0,0,0
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,1000_0,1000,0
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,1500_2,1500,2
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,2000_2,2000,2
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,2500_3,2500,3
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,3000_4,3000,4
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,3500_2,3500,2
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,4000_3,4000,3
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,4500_3,4500,3
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,500_0,500,0
CPO112,Klebsiella variicola,2551,Klebsiella variicola 2551,Klebsiella pneumoniae complex,2017,26/1/2017,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,5000_6,5000,6
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,0_0,0,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,1000_0,1000,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,1500_0,1500,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,2000_0,2000,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,2500_0,2500,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,3000_0,3000,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,3500_4,3500,4
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,4000_4,4000,4
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,4500_1,4500,1
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,500_0,500,0
CPO116,Klebsiella michiganensis,50,Klebsiella michiganensis 50,Klebsiella michiganensis,2016,21/12/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,1,Klebsiella michiganensis - Other STs,IncHI2_CPO019,5000_2,5000,2
CPO117,Acinetobacter pittii,1037,Acinetobacter pittii 1037,Acinetobacter spp.,2016,3/12/2016,hybrid,2016-2020,Untyped (AC935 AM306),AC935_AM306,non_fusion,1,Acinetobacter spp. - Other STs,novel_CPO117,NA,NA,NA
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,0_0,0,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1000_0,1000,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1500_0,1500,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2000_0,2000,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2500_0,2500,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3000_0,3000,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3500_4,3500,4
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4000_4,4000,4
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4500_1,4500,1
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,500_0,500,0
CPO118,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,5000_2,5000,2
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,0_0,0,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1000_0,1000,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1500_0,1500,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2000_0,2000,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2500_0,2500,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3000_0,3000,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3500_4,3500,4
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4000_4,4000,4
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4500_1,4500,1
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,500_0,500,0
CPO119,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,22/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,5000_2,5000,2
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,0_0,0,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1000_0,1000,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1500_0,1500,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2000_0,2000,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,2500_0,2500,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3000_0,3000,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,3500_4,3500,4
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4000_4,4000,4
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,4500_1,4500,1
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,500_0,500,0
CPO120,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,21/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,5000_2,5000,2
CPO121,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,15/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,0_0,0,0
CPO121,Klebsiella oxytoca,278,Klebsiella oxytoca 278,Klebsiella oxytoca,2016,15/11/2016,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,4,Klebsiella oxytoca 278,IncHI2_CPO118,1000_0,1000,0
