,CPO002-Entcpx-02-21,CPO008-Entcpx-02-21,CPO011-Entcpx-02-21,CPO014-Entcpx-02-21,CPO016-Entcpx-02-21,CPO017,CPO049,CPO050-Entcpx-02-21,CPO052,CPO055,CPO056-Entcpx-02-21,CPO073-Entcpx-02-21,CPO089,CPO092,CPO098-Entcpx-02-21,CPO189-Entcpx-02-21,CPO190-Entcpx-02-21,CPO191-Entcpx-02-21,CPO214-Entcpx-02-21,CPO229-Entcpx-02-21,CPO242-Entcpx-02-21,CPO248-Entcpx-02-21,CPO251-Entcpx-02-21,CPO264-Entcpx-02-21,CPO267-Entcpx-02-21,CPO278-Entcpx-02-21,CPO285-Entcpx-02-21,CPO286-Entcpx-02-21,CPO291-Entcpx-02-21,CPO292-Entcpx-02-21,CPO303-Entcpx-02-21,CPO312-Entcpx-02-21,CPO320-Entcpx-02-21,CPO337-Entcpx-02-21,CPO398-Entcpx-02-21,CPO399,GCF_000534555,GCF_000534635,GCF_000534695,GCF_000534795,GCF_000724505,GCF_001022015,GCF_001022055,GCF_001022075,GCF_001022255,GCF_001472075,GCF_001472115,GCF_001472435,GCF_001472475,GCF_001472535,GCF_001472835,GCF_001472875,GCF_001525095,GCF_001525425,GCF_001525465,GCF_001525475,GCF_001874505,GCF_002246615,GCF_002850625,GCF_002858545,GCF_002918735,GCF_003176055,GCF_003176615,GCF_003288475,GCF_003693465,GCF_008368605,GCF_008368665,GCF_008369005,GCF_008369025,GCF_008641355,GCF_009887805,GCF_009887815,GCF_009888045,GCF_009888085,GCF_010588385,GCF_011006945,GCF_900075175,GCF_900075945,GCF_900077115,GCF_900077735,GCF_900558255,Reference
GCF_009887815,246,245,246,245,246,246,246,245,246,245,245,241,239,240,243,248,248,245,247,245,245,245,246,246,241,247,247,241,247,247,248,248,242,242,239,238,336,210,332,327,328,323,320,320,322,335,125,124,131,125,135,142,151,301,154,217,320,222,195,143,328,766,328,210,241,142,142,90,84,301,0,,55,55,372,310,327,643,270,312,725,243
GCF_009888045,257,256,257,256,257,257,257,256,257,256,256,252,250,251,254,259,259,256,258,256,256,256,257,257,252,258,258,252,258,258,259,259,253,253,250,249,347,221,343,338,339,334,331,331,333,346,136,135,142,136,146,153,162,312,165,228,331,233,206,154,339,777,339,221,252,153,153,101,95,313,55,55,,6,383,321,338,654,281,323,736,254
GCF_009888085,257,256,257,256,257,257,257,256,257,256,256,252,250,251,254,259,259,256,258,256,256,256,257,257,252,258,258,252,258,258,259,259,253,253,250,249,347,221,343,338,339,334,331,331,333,346,136,135,142,136,146,153,162,312,165,228,331,233,206,154,339,777,339,221,252,153,153,101,95,313,55,55,6,,383,321,338,654,281,323,736,254
GCF_010588385,331,330,331,330,331,331,331,330,331,330,330,326,324,325,328,333,333,330,332,330,330,330,331,331,326,332,332,326,332,332,333,333,327,327,324,323,110,366,224,219,220,215,212,212,214,103,367,362,373,367,377,384,393,389,396,467,212,472,433,381,220,851,414,366,326,384,384,372,366,205,372,372,383,383,,466,230,727,335,377,810,328
GCF_011006945,341,340,341,340,341,341,341,340,341,340,340,336,334,335,338,343,343,340,342,340,340,340,341,341,336,342,342,336,342,342,343,343,337,337,334,333,430,192,430,425,426,421,418,418,420,429,305,300,311,305,315,322,331,399,334,405,418,410,371,319,426,861,424,192,336,322,322,310,304,397,310,310,321,321,466,,422,737,365,407,820,338
GCF_900075175,285,284,285,284,285,285,285,284,285,284,284,280,278,279,282,287,287,284,286,284,284,284,285,285,280,286,286,280,286,286,287,287,281,281,278,277,194,322,193,188,189,184,181,181,183,193,322,317,328,322,332,339,348,344,351,422,181,427,388,336,189,805,371,322,280,339,339,327,321,159,327,327,338,338,230,422,,683,289,331,764,282
GCF_900075945,600,599,600,599,600,600,600,599,600,599,599,595,593,594,597,602,602,599,601,599,599,599,600,600,595,601,601,595,601,601,602,602,596,596,593,592,691,637,691,686,687,682,679,679,681,690,638,633,644,638,648,655,664,658,667,738,679,743,704,652,687,472,685,637,595,655,655,643,637,658,643,643,654,654,727,737,683,,625,667,241,597
GCF_900077115,228,227,228,227,228,228,228,227,228,227,227,223,221,222,225,230,230,227,229,227,227,227,228,228,223,229,229,223,229,229,230,230,224,224,221,220,299,265,298,293,294,289,286,286,288,298,265,260,271,265,275,282,291,287,294,365,286,370,331,279,294,747,314,265,223,282,282,270,264,264,270,270,281,281,335,365,289,625,,158,706,225
GCF_900077735,270,269,270,269,270,270,270,269,270,269,269,265,263,264,267,272,272,269,271,269,269,269,270,270,265,271,271,265,271,271,272,272,266,266,263,262,341,307,340,335,336,331,328,328,330,340,307,302,313,307,317,324,333,329,336,407,328,412,373,321,336,789,356,307,265,324,324,312,306,306,312,312,323,323,377,407,331,667,158,,748,267
GCF_900558255,681,680,681,680,681,681,681,680,681,680,680,676,674,675,678,683,683,680,682,680,680,680,681,681,676,682,682,676,682,682,683,683,677,677,674,673,774,720,773,768,769,764,761,761,763,773,720,715,726,720,730,737,746,740,749,820,761,825,786,734,769,553,769,720,676,737,737,725,719,739,725,725,736,736,810,820,764,241,706,748,,678
Reference,19,18,19,18,19,19,19,18,19,18,18,14,18,11,16,21,27,18,26,18,18,18,19,19,14,20,20,14,20,20,21,21,15,15,12,11,292,238,291,286,287,282,279,279,281,291,238,233,244,238,248,255,264,190,267,338,279,343,304,252,287,719,287,238,104,255,255,243,237,257,243,243,254,254,328,338,282,597,225,267,678,
